fs_type,D,W,F,profile_name,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,distribution,locality,zipf_s,operations,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_usage_bytes
A,10,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.993364,12.0835,1.17493e+06,364509352
A,10,15,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,12.1532,90.333,269775,364639461
A,10,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,3.84455,67.958,656726,364525419
A,10,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,2.04429,29.25,888085,364511741
A,10,15,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,11.9226,83.125,258083,364636117
A,10,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,2.26968,22.0205,699075,364529637
A,10,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,1.42705,16.896,1.04479e+06,364511899
A,10,15,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,25.3424,141.459,143810,364637156
A,10,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,2.7457,36.646,508775,364527006
A,10,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,1.96813,27.792,920254,364510805
A,10,2,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.35417,0.9585,2.84457e+06,6934
A,10,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.251986,0.792,3.96929e+06,6886
A,10,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.253962,0.834,3.93776e+06,6646
A,10,2,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.314127,0.896,3.1875e+06,6982
A,10,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.265375,0.8545,3.76848e+06,6766
A,10,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.244677,0.8335,4.08741e+06,6566
A,10,2,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.306809,0.875,3.25943e+06,6918
A,10,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.251522,0.854,3.98068e+06,6830
A,10,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.271461,0.875,3.69546e+06,6481
A,15,2,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.383549,1.104,2.60774e+06,19318
A,15,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.390503,1.1455,2.56115e+06,18713
A,15,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.407231,1.437,2.47281e+06,17251
A,15,2,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.400947,1.1045,2.49411e+06,19246
A,15,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.39868,1.1045,2.50848e+06,18719
A,15,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.363839,1.021,2.74855e+06,16411
A,15,2,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.414894,1.25,2.42081e+06,19174
A,15,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.396414,1.125,2.52267e+06,18735
A,15,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.436047,1.2295,2.29339e+06,17376
A,20,2,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.546687,1.792,1.87213e+06,41394
A,20,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.533382,1.4795,1.87756e+06,38514
A,20,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.595134,1.5835,1.68031e+06,33777
A,20,2,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.621886,2.0415,1.60965e+06,41306
A,20,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.813296,2.3125,1.23044e+06,38394
A,20,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.590091,1.5835,1.69964e+06,33990
A,20,2,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.586607,1.7705,1.71781e+06,41434
A,20,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.743645,2.1245,1.34897e+06,38427
A,20,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.767824,4.6045,1.34113e+06,34282
A,15,3,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.681433,1.6875,1.46998e+06,870160
A,15,3,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.603814,1.5005,1.65634e+06,780519
A,15,3,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.716422,1.9375,1.44446e+06,766652
A,15,3,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.841023,2.25,1.20063e+06,870956
A,15,3,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,1.02734,2.896,974327,781038
A,15,3,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.604277,1.583,1.65561e+06,765775
A,15,3,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.653078,1.5625,1.53207e+06,871456
A,15,3,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.646124,1.6045,1.54838e+06,780241
A,15,3,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.606303,1.479,1.64938e+06,766535
A,2,30,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.409172,1.0415,2.45656e+06,49754
A,2,30,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.281908,0.7085,3.54877e+06,46400
A,2,30,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.246996,0.646,4.04925e+06,42495
A,2,30,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.280204,0.7505,3.57272e+06,82712
A,2,30,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.292377,0.771,3.42141e+06,74977
A,2,30,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.268974,0.688,3.71888e+06,68809
A,2,30,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.285507,0.771,3.50544e+06,83154
A,2,30,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.301144,0.771,3.32229e+06,74276
A,2,30,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.260604,0.688,3.83932e+06,69442
A,2,50,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.318105,0.854,3.1486e+06,132728
A,2,50,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.300335,0.813,3.33161e+06,113790
A,2,50,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.283288,0.7085,3.53052e+06,105105
